channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
110149,-4033469,-3450637,-2970697,-2376642,-3033110,-3622720,-8388608,1404689454.983,0
110343,-4032439,-3450007,-2971366,-2376258,-3034173,-3622904,-8388608,1404689454.983,0
109362,-4036039,-3449701,-2970931,-2376302,-3034703,-3622502,-8388608,1404689454.983,0
110417,-4033118,-3449679,-2970804,-2375929,-3033104,-3621937,-8388608,1404689454.998,0
109989,-4035107,-3450373,-2971713,-2376874,-3033614,-3622313,-8388608,1404689454.998,0
110243,-4034281,-3450038,-2971277,-2375749,-3034177,-3622289,-8388608,1404689455.014,0
109862,-4032863,-3450420,-2971828,-2376477,-3034060,-3622655,-8388608,1404689455.014,0
109729,-4032843,-3450153,-2971882,-2375983,-3034854,-3622613,-8388608,1404689455.029,0
110201,-4032611,-3449776,-2971410,-2375946,-3033745,-3621773,-8388608,1404689455.029,0
110181,-4033372,-3449957,-2972534,-2376677,-3034874,-3622178,-8388608,1404689455.045,0
109219,-4035787,-3450439,-2972107,-2376912,-3033819,-3621606,-8388608,1404689455.045,0
110248,-4032876,-3450715,-2973156,-2376649,-3034834,-3622848,-8388608,1404689455.061,0
109848,-4033124,-3450251,-4194304,110590,-4031352,-3449649,-2970393,1404689455.061,0
110664,-4031688,-3449579,-2970405,-2375389,-3033244,-3621281,-8388608,1404689455.061,0
110588,-4033996,-3449166,-2970381,-2375192,-3034968,-3621762,-8388608,1404689455.076,0
110683,-4032827,-3449351,-2969834,-2375305,-3033511,-3621287,-8388608,1404689455.076,0
110381,-4033520,-3449566,-2971053,-2375397,-3035557,-3622316,-8388608,1404689455.092,0
110534,-4033221,-3449177,-2970195,-2374959,-3034386,-3621286,-8388608,1404689455.092,0
110284,-4033524,-3450101,-2972360,-2376390,-3035162,-3622647,-8388608,1404689455.107,0
109302,-4034967,-3450252,-2971394,-2376226,-3035159,-3622131,-8388608,1404689455.107,0
110604,-4032605,-3449681,-2971171,-2375934,-3034611,-3621928,-8388608,1404689455.123,0
110053,-4034180,-3449054,-2969959,-2375608,-3034972,-3621136,-8388608,1404689455.123,0
109779,-4036014,-3449076,-2969617,-2376187,-3033449,-3619967,-8388608,1404689455.139,0
110621,-4030554,-3449285,-2970586,-2375835,-3035319,-3621050,-8388608,1404689455.139,0
110417,-4035232,-3449842,-2970264,-2376232,-3034206,-3620427,-8388608,1404689455.139,0
110765,-4031348,-3449940,-2971477,-2375883,-3035090,-3621467,-8388608,1404689455.154,0
110343,-4033054,-3450154,-2971510,-2375931,-3015680,26,-2212825,1404689455.154,0
110080,-4033594,-3450434,-2971324,-2376576,-3033811,-3621175,-8388608,1404689455.17,0
110623,-4031842,-3450259,-2971674,-2375883,-3036001,-3622077,-8388608,1404689455.17,0
110509,-4034210,-3450109,-2971438,-2376479,-3033859,-3620991,-8388608,1404689455.185,0
110366,-4032711,-3450102,-2972130,-2376319,-3035842,-3621896,-8388608,1404689455.185,0
110510,-4032763,-3449558,-2970761,-2375481,-3034417,-3620769,-8388608,1404689455.201,0
110044,-4033225,-3450039,-2971516,-2376501,-3034223,-3621084,-8388608,1404689455.201,0
110166,-4033571,-3449576,-2970514,-2375759,-3034794,-3620739,-8388608,1404689455.217,0
110571,-4034957,-3449617,-2970596,-2376463,-3033693,-3620506,-8388608,1404689455.217,0
110225,-4033626,-3449507,-2970804,-2376267,-3034542,-3620697,-8388608,1404689455.232,0
110224,-4032341,-3448891,-2969204,-2375727,-3031991,-3618634,-8388608,1404689455.232,0
110407,-4032902,-3449671,-2970829,-2376294,-3032109,-3619152,-8388608,1404689455.232,0
109876,-4034929,-3449716,-2969561,-2376289,-3027133,-3616709,-8388608,1404689455.248,0
110663,-4028518,-3449440,-2969564,-2375374,-3024552,-3615979,-8388608,1404689455.248,0
110299,-4030701,-3449296,-2968639,-2375374,-3021599,-3614225,-8388608,1404689455.263,0
110691,-4029744,-3448454,-2967625,-2375037,-3013982,-3610462,-8388608,1404689455.263,0
110088,-4032209,-3448872,-2969386,-2375430,-3013795,-3610537,-8388608,1404689455.279,0
110693,-4032101,-3449366,-2970156,-2375647,-3014812,-3611434,-8388608,1404689455.279,0
109716,-4034406,-3449507,-2971320,-2376136,-3021267,-3614722,-8388608,1404689455.295,0
109837,-4033571,-3449002,-2970139,-2375359,-3021841,-3614742,-8388608,1404689455.295,0
110020,-4032724,-3449307,-2971174,-2376074,-3026903,-3617786,-8388608,1404689455.31,0
110158,-4031931,-3448232,-2969144,-2375027,-3028935,-3617768,-8388608,1404689455.31,0
109748,-4033553,-3449100,-2970312,-2376327,-3031937,-3619666,-8388608,1404689455.31,0
