channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-326392,-4293644,-3275352,-3306868,-2614936,-3113423,-2943870,-8388608,1404688520.873,0
-326149,-4297344,-3277763,-3307771,-2614547,-3116003,-2945704,-8388608,1404688520.873,0
-326006,-4295385,-3275700,-3307411,-2614857,-3113557,-2944224,-8388608,1404688520.873,0
-325527,-4295712,-3278746,-3308528,-2614448,-3116792,-2946621,-8388608,1404688520.889,0
-326105,-4294574,-3275673,-3307269,-2615277,-3113639,-2944117,-8388608,1404688520.889,0
-326692,-4297269,-3277686,-3309114,-2616200,-3115499,-2945954,-8388608,1404688520.905,0
-326042,-4295639,-3276629,-3306922,-2614391,-3115007,-2944624,-8388608,1404688520.905,0
-326687,-4295617,-3277378,-3308731,-2615817,-3115214,-2945656,-8388608,1404688520.92,0
-326766,-4297215,-3277753,-3308135,-2615164,-3115741,-2945464,-8388608,1404688520.92,0
-326259,-4295814,-3277720,-3309258,-2615676,-3115267,-2945856,-8388608,1404688520.936,0
-326739,-4297777,-3278345,-3308469,-2615229,-3116390,-2946047,-8388608,1404688520.936,0
-326828,-4296521,-3276884,-3307579,-2615032,-3114839,-2944967,-8388608,1404688520.951,0
-326105,-4296907,-3279014,-3308887,-2615171,-3116899,-2946897,-8388608,1404688520.951,0
-326587,-4295062,-3276547,-3306202,-2614261,-3114706,-2944636,-8388608,1404688520.967,0
-326287,-4296944,-3278935,-3308890,-2615875,-3116757,-2946951,-8388608,1404688520.967,0
-326227,-4295438,-3276474,-3305977,-2614385,-3114669,-2944495,-8388608,1404688520.967,0
-326132,-4294316,-3276048,-3306627,-2614880,-3113916,-2944359,-8388608,1404688520.983,0
-326669,-4296590,-3279314,-3308566,-2615121,-3117229,-2947101,-8388608,1404688520.983,0
-326294,-4295039,-3276883,-3307781,-2615011,-3114482,-2945282,-8388608,1404688520.998,0
-326789,-4297441,-3279514,-3309318,-2615281,-3117078,-2947277,-8388608,1404688520.998,0
-326283,-4294772,-3276851,-3307591,-2614617,-3114299,-2945177,-8388608,1404688521.014,0
-326641,-4295758,-3278360,-3309182,-2615561,-3115536,-2946609,-8388608,1404688521.014,0
-326915,-4296661,-3278311,-3308278,-2615076,-3115781,-2946027,-8388608,1404688521.029,0
-326731,-4295387,-3277461,-3308798,-2615474,-3114315,-2945586,-8388608,1404688521.029,0
-326477,-4297638,-3278066,-3308247,-2614967,-3114906,-2945450,-8388608,1404688521.045,0
-326504,-4294972,-3276423,-3308200,-2615335,-3112561,-2944308,-8388608,1404688521.045,0
-326975,-4297297,-3278372,-3309517,-2616174,-3114301,-2945852,-8388608,1404688521.061,0
-326484,-4295034,-3275931,-3306822,-2614349,-3111794,-2943461,-8388608,1404688521.061,0
-326505,-4296345,-3277815,-3308690,-2615337,-3113069,-2945326,-8388608,1404688521.076,0
-326521,-4295132,-3275442,-3306302,-2614307,-3110634,-2942786,-8388608,1404688521.076,0
-326432,-4295705,-3277197,-3308830,-2615472,-3111441,-2944433,-8388608,1404688521.076,0
-326517,-4295531,-3275957,-3307273,-2614809,-3110228,-2942956,-8388608,1404688521.092,0
-326191,-4294129,-3274833,-3307412,-2614919,-3108686,-2942251,-8388608,1404688521.092,0
-326216,-4296549,-3277445,-3309006,-2615155,-3111269,-2944463,-8388608,1404688521.107,0
-326104,-4293774,-3274091,-3306934,-2614257,-3107942,-2941814,-8388608,1404688521.107,0
-326345,-4297244,-3276985,-3309187,-2615344,-3110898,-2944541,-8388608,1404688521.123,0
-326551,-4294526,-3273799,-3307042,-2614377,-3108155,-2942163,-8388608,1404688521.123,0
-326657,-4294532,-3274036,-3308146,-2615149,-3108518,-2942884,-8388608,1404688521.139,0
-326577,-4295919,-3273419,-3307512,-2614560,-3109645,-2943097,-8388608,1404688521.139,0
-326102,-4294912,-3269480,-3307568,-2615015,-3107921,-2942508,-8388608,1404688521.154,0
-326589,-4296338,-3268006,-3307235,-2614411,-3109821,-2943710,-8388608,1404688521.154,0
-325425,-4294547,-3263805,-3306142,-2614266,-3107389,-2942408,-8388608,1404688521.17,0
-325814,-4295380,-3265782,-3306508,-2614002,-3109526,-2943776,-8388608,1404688521.17,0
-325981,-4294796,-3264046,-3305577,-2614023,-3107931,-2942416,-8388608,1404688521.185,0
-326068,-4294878,-3264660,-3307656,-2615044,-3108679,-2943811,-8388608,1404688521.185,0
-325586,-4294627,-3262786,-3306390,-2613750,-3107961,-2942672,-8388608,1404688521.185,0
-325579,-4294809,-3263581,-3307991,-2614420,-3108519,-2943777,-8388608,1404688521.201,0
-325781,-4295821,-3264430,-3307236,-2614188,-3109201,-2943598,-8388608,1404688521.201,0
-326260,-4295340,-3265884,-3308547,-2615437,-3109141,-2944267,-8388608,1404688521.217,0
-326364,-4296593,-3268364,-3308982,-2615441,-3110960,-2945448,-8388608,1404688521.217,0
-325949,-4294319,-3266470,-3306316,-2614320,-3108253,-2942869,-8388608,1404688521.232,0
-325782,-4296465,-3271111,-3308447,-2614906,-3111269,-2945575,-8388608,1404688521.232,0
-325552,-4294716,-3270923,-3306217,-2613666,-3109522,-2943564,-8388608,1404688521.248,0
-325647,-4296008,-3275264,-3308177,-2614666,-3111895,-2945851,-8388608,1404688521.248,0
-325862,-4295298,-3275066,-3306459,-2614098,-3111032,-2944454,-8388608,1404688521.263,0
-325956,-4294759,-3275267,-3307191,-2614797,-3110661,-2944564,-8388608,1404688521.263,0
-325874,-4296897,-3278626,-3308447,-2614836,-3113607,-2946489,-8388608,1404688521.279,0
-325846,-4294989,-3277067,-3308067,-2615046,-3111424,-2945054,-8388608,1404688521.279,0
-326053,-4297322,-3280082,-3309910,-2615432,-3114418,-2947243,-8388608,1404688521.295,0
-325978,-4295194,-3277730,-3308719,-2615476,-3111841,-2945181,-8388608,1404688521.295,0
-326352,-4297597,-3280789,-3310284,-2616032,-3114901,-2947642,-8388608,1404688521.295,0
