@relation jim-filtered-data-weka.filters.unsupervised.attribute.Remove-R9

@attribute channel_0 numeric
@attribute channel_1 numeric
@attribute channel_2 numeric
@attribute channel_3 numeric
@attribute channel_4 numeric
@attribute channel_5 numeric
@attribute channel_6 numeric
@attribute channel_7 numeric
@attribute class {0,70}

@data
0.060661,0.234536,0.169101,0.048993,0.061721,0.093894,0.02479,0.163526,0
0.060954,0.234615,0.169464,0.049158,0.062242,0.094129,0.024971,0.163284,0
0.061169,0.234795,0.169837,0.049454,0.062626,0.094477,0.02515,0.163063,0
0.061032,0.234713,0.169636,0.049348,0.062341,0.094332,0.025042,0.16317,0
0.060654,0.234558,0.169177,0.049021,0.061751,0.093944,0.024738,0.163472,0
0.060821,0.234559,0.169369,0.049053,0.062081,0.094038,0.024871,0.163322,0
0.061183,0.234715,0.169792,0.049392,0.062635,0.094455,0.025157,0.163014,0
0.061025,0.234697,0.169669,0.049345,0.062395,0.094344,0.025006,0.163128,70
0.060672,0.234541,0.169254,0.049036,0.061863,0.093977,0.024731,0.163357,70
0.060707,0.234436,0.169241,0.048945,0.061936,0.093973,0.024822,0.163306,70
0.061194,0.234766,0.169744,0.049385,0.062624,0.094442,0.025157,0.163096,70
0.06112,0.234785,0.169682,0.049411,0.062487,0.094424,0.025076,0.163169,70
0.060825,0.234595,0.169323,0.049148,0.061987,0.094108,0.024879,0.163333,70
0.060689,0.23448,0.169186,0.04896,0.06184,0.093922,0.024809,0.163435,70
0.061204,0.234779,0.169729,0.049365,0.062585,0.094391,0.025151,0.163158,70
0.061175,0.234804,0.169718,0.049446,0.062535,0.094458,0.025167,0.163148,70
0.060865,0.234633,0.169468,0.049196,0.062093,0.094163,0.024894,0.163266,70
0.060589,0.234427,0.169158,0.048894,0.061721,0.093866,0.024705,0.163409,70
0.061081,0.234693,0.169629,0.04926,0.062487,0.094312,0.025034,0.163136,70
0.061109,0.234769,0.169713,0.049411,0.062549,0.094461,0.025086,0.163083,70
0.060825,0.234575,0.169392,0.049193,0.062194,0.094201,0.02482,0.163118,70
0.060539,0.234379,0.169056,0.04887,0.061676,0.093863,0.024645,0.163376,70
0.061011,0.234655,0.169545,0.049192,0.062339,0.094226,0.024976,0.163224,70
0.061119,0.234783,0.169773,0.04943,0.062598,0.094481,0.025112,0.163053,70
0.060946,0.234685,0.16949,0.049282,0.062258,0.094275,0.024939,0.163153,70
0.060551,0.234353,0.169082,0.04889,0.061692,0.093878,0.024659,0.16331,70
0.060872,0.234486,0.169515,0.049064,0.06221,0.094087,0.024906,0.16316,70
0.061213,0.23483,0.169877,0.049438,0.062626,0.094467,0.025205,0.163118,70
0.061007,0.234759,0.169541,0.049333,0.062349,0.094327,0.02497,0.163168,70
0.060581,0.234447,0.169038,0.048947,0.061746,0.093898,0.024644,0.163314,70
0.060759,0.234497,0.169279,0.048992,0.06203,0.09399,0.024845,0.163258,70
0.061181,0.234791,0.169748,0.049394,0.062648,0.094427,0.025183,0.163041,70
0.061041,0.234795,0.169619,0.049361,0.06243,0.094355,0.025008,0.16315,70
0.06064,0.234544,0.169187,0.049028,0.06188,0.093994,0.024715,0.163283,70
0.060663,0.234445,0.169222,0.048923,0.061908,0.093934,0.024769,0.163279,70
0.061232,0.234812,0.16977,0.049372,0.062623,0.094434,0.025146,0.16314,70
0.061094,0.234754,0.169762,0.049366,0.062476,0.094411,0.025075,0.163124,70
0.060758,0.234561,0.169335,0.049088,0.061977,0.094054,0.024819,0.163268,70
0.060619,0.234491,0.169141,0.048916,0.061797,0.093903,0.024745,0.163411,70
0.061083,0.234758,0.169672,0.049305,0.06256,0.094354,0.025064,0.163075,70
0.061082,0.2348,0.1697,0.049407,0.06253,0.094436,0.025066,0.163087,70
0.060796,0.234604,0.169338,0.04918,0.062119,0.094148,0.02481,0.163167,70
0.060548,0.234443,0.169047,0.048908,0.061754,0.093852,0.024692,0.163392,70
0.061037,0.234795,0.169626,0.049296,0.062467,0.094295,0.025015,0.16321,70
0.061158,0.234895,0.169781,0.049465,0.062574,0.094488,0.025177,0.163152,70
0.060923,0.234722,0.169489,0.049284,0.062245,0.094272,0.024953,0.163224,70
0.060536,0.234409,0.169117,0.048919,0.061715,0.093912,0.024702,0.163352,70
0.060977,0.234682,0.169583,0.049214,0.062334,0.094251,0.025015,0.163197,70
0.061175,0.234898,0.169925,0.049502,0.062637,0.094522,0.025181,0.163141,70
0.061005,0.234808,0.169589,0.049378,0.062329,0.094325,0.024999,0.163246,70
0.060562,0.234519,0.169057,0.048986,0.06174,0.093902,0.024677,0.163406,70
0.060868,0.234616,0.169416,0.049127,0.062209,0.094111,0.024932,0.163253,70
0.061169,0.234857,0.169809,0.049456,0.062655,0.094496,0.025194,0.163062,70
0.060963,0.234745,0.169591,0.049339,0.062377,0.094347,0.024981,0.163108,70
0.06062,0.234495,0.169175,0.049,0.061797,0.09398,0.024716,0.163345,70
0.060847,0.23459,0.169376,0.049048,0.062035,0.094067,0.024934,0.163373,70
0.061253,0.234871,0.1699,0.049463,0.062667,0.094531,0.025251,0.1631,70
0.061143,0.234812,0.169781,0.049424,0.062442,0.094421,0.02512,0.163233,70
0.06076,0.234579,0.169209,0.049091,0.061884,0.094045,0.02482,0.163392,70
0.060736,0.234591,0.1692,0.048993,0.061874,0.093973,0.02479,0.163461,70
0.061224,0.234939,0.169783,0.049433,0.062601,0.094475,0.025195,0.16317,70
